epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4054,1.5692,4.96481,1.11345,0.05513,0.32259,0.11791,0.08927,1.14187,4.22965,0.90583,7.33509e-05,7.33509e-05,7.33509e-05
2,25.8609,1.29538,3.49112,0.9551,0.67056,0.26105,0.2605,0.1924,1.15211,2.05729,0.92652,0.000145892,0.000145892,0.000145892
3,37.4786,1.20617,2.0522,0.9444,0.69712,0.38129,0.40435,0.29604,1.04437,1.29663,0.91196,0.000216968,0.000216968,0.000216968
4,48.6466,1.15106,1.52206,0.92836,0.62031,0.47468,0.50988,0.37354,1.00504,1.02972,0.90203,0.000215407,0.000215407,0.000215407
5,60.1919,1.08641,1.25057,0.91745,0.74448,0.56838,0.60318,0.44845,0.94436,0.88481,0.89179,0.000213209,0.000213209,0.000213209
6,71.5846,1.06168,1.14254,0.91524,0.79579,0.56359,0.65208,0.49318,0.92537,0.8233,0.88837,0.000211011,0.000211011,0.000211011
7,82.9879,1.03547,1.06864,0.90748,0.77088,0.63035,0.6835,0.51408,0.93151,0.79276,0.89003,0.000208813,0.000208813,0.000208813
8,94.3156,1.01455,0.99648,0.90575,0.82052,0.64768,0.71098,0.54074,0.90782,0.76251,0.89178,0.000206615,0.000206615,0.000206615
9,105.62,0.99425,0.96481,0.90424,0.84574,0.67048,0.75116,0.57713,0.90935,0.73351,0.88795,0.000204418,0.000204418,0.000204418
10,117.066,0.97448,0.91051,0.89945,0.81974,0.72818,0.75444,0.57959,0.89113,0.69251,0.88687,0.00020222,0.00020222,0.00020222
11,128.643,0.96862,0.88084,0.89709,0.79542,0.76721,0.78961,0.61144,0.89012,0.67276,0.88672,0.000200022,0.000200022,0.000200022
12,139.956,0.96951,0.85959,0.90019,0.80381,0.70062,0.76012,0.5801,0.88368,0.67152,0.88536,0.000197824,0.000197824,0.000197824
13,151.582,0.95022,0.82858,0.89566,0.82597,0.77227,0.80171,0.62498,0.88043,0.65809,0.88468,0.000195626,0.000195626,0.000195626
14,162.709,0.95243,0.81653,0.89728,0.85407,0.71213,0.79529,0.61813,0.86916,0.64476,0.88229,0.000193429,0.000193429,0.000193429
15,173.945,0.94158,0.80169,0.89278,0.85735,0.75062,0.80722,0.62675,0.87875,0.6302,0.88148,0.000191231,0.000191231,0.000191231
16,185.062,0.92702,0.77466,0.89476,0.8529,0.76612,0.81334,0.62778,0.88921,0.63231,0.8858,0.000189033,0.000189033,0.000189033
17,196.098,0.92395,0.7641,0.88893,0.88865,0.72501,0.79839,0.62098,0.87487,0.61627,0.87975,0.000186835,0.000186835,0.000186835
18,207.044,0.9325,0.75517,0.8879,0.87121,0.73514,0.79884,0.62079,0.8634,0.60508,0.87915,0.000184637,0.000184637,0.000184637
19,217.91,0.92253,0.75046,0.88945,0.82223,0.81564,0.82905,0.64939,0.88883,0.6033,0.87604,0.00018244,0.00018244,0.00018244
20,229.063,0.91569,0.73012,0.88707,0.82748,0.78968,0.80451,0.62753,0.85898,0.60115,0.87861,0.000180242,0.000180242,0.000180242
21,240.371,0.90595,0.7156,0.88468,0.82867,0.79306,0.79241,0.61888,0.84431,0.59661,0.87426,0.000178044,0.000178044,0.000178044
22,251.848,0.9028,0.7088,0.88465,0.85848,0.76641,0.81505,0.6365,0.85713,0.58403,0.87455,0.000175846,0.000175846,0.000175846
23,262.875,0.90651,0.71407,0.88608,0.84429,0.81111,0.8355,0.65757,0.85798,0.58333,0.87787,0.000173648,0.000173648,0.000173648
24,274.087,0.89559,0.69811,0.88119,0.87732,0.7866,0.82307,0.64245,0.84959,0.57686,0.87572,0.000171451,0.000171451,0.000171451
25,285.176,0.90403,0.69475,0.88383,0.87194,0.78831,0.84002,0.66666,0.84621,0.56914,0.87221,0.000169253,0.000169253,0.000169253
26,296.239,0.88871,0.67897,0.88082,0.86986,0.79409,0.83949,0.66489,0.82709,0.56748,0.8706,0.000167055,0.000167055,0.000167055
27,307.859,0.89626,0.68089,0.87992,0.86667,0.79376,0.80448,0.6307,0.83935,0.56172,0.87384,0.000164857,0.000164857,0.000164857
28,318.953,0.89399,0.67881,0.88367,0.88582,0.76738,0.81803,0.63758,0.84121,0.55773,0.8724,0.000162659,0.000162659,0.000162659
29,330.206,0.88293,0.66014,0.88039,0.90171,0.75623,0.85469,0.67457,0.84989,0.56872,0.87087,0.000160462,0.000160462,0.000160462
30,341.871,0.87661,0.65287,0.87775,0.88567,0.76842,0.82211,0.64446,0.84674,0.55851,0.87166,0.000158264,0.000158264,0.000158264
31,353.346,0.88702,0.66162,0.88356,0.84145,0.75991,0.82301,0.64287,0.82457,0.56236,0.86834,0.000156066,0.000156066,0.000156066
32,365.027,0.88132,0.649,0.87937,0.85754,0.76198,0.82734,0.64525,0.83691,0.55819,0.86985,0.000153868,0.000153868,0.000153868
33,376.701,0.87627,0.63847,0.87606,0.86081,0.75865,0.82938,0.64826,0.8396,0.55562,0.87083,0.00015167,0.00015167,0.00015167
34,388.005,0.88103,0.64057,0.87637,0.88227,0.75622,0.83002,0.64704,0.82139,0.54839,0.86946,0.000149473,0.000149473,0.000149473
35,399.326,0.87339,0.63509,0.87707,0.8218,0.81851,0.81687,0.63982,0.83818,0.55055,0.86967,0.000147275,0.000147275,0.000147275
36,410.788,0.86237,0.62688,0.87605,0.84755,0.76993,0.82658,0.64859,0.83093,0.53656,0.86868,0.000145077,0.000145077,0.000145077
37,422.294,0.86674,0.62832,0.87534,0.87118,0.80122,0.84612,0.6678,0.81809,0.54454,0.86685,0.000142879,0.000142879,0.000142879
38,433.304,0.87073,0.62295,0.87697,0.88182,0.76454,0.82539,0.65061,0.82478,0.53467,0.86841,0.000140681,0.000140681,0.000140681
39,444.349,0.87193,0.61978,0.87667,0.85271,0.77296,0.82817,0.65138,0.82537,0.53161,0.86747,0.000138484,0.000138484,0.000138484
40,455.254,0.86101,0.61895,0.87225,0.77163,0.85487,0.84649,0.66795,0.82487,0.53521,0.86781,0.000136286,0.000136286,0.000136286
41,466.719,0.86889,0.60906,0.87574,0.85991,0.80933,0.87519,0.69263,0.83316,0.53425,0.86612,0.000134088,0.000134088,0.000134088
42,478.419,0.85278,0.60493,0.87085,0.87837,0.79066,0.83675,0.65809,0.85884,0.54073,0.87371,0.00013189,0.00013189,0.00013189
43,489.918,0.85845,0.60595,0.87482,0.86002,0.76082,0.8355,0.659,0.8277,0.53254,0.86768,0.000129692,0.000129692,0.000129692
44,501.383,0.85064,0.59788,0.87279,0.88323,0.77377,0.83522,0.65721,0.81015,0.53242,0.86374,0.000127495,0.000127495,0.000127495
45,512.899,0.85711,0.598,0.8721,0.86316,0.75889,0.83216,0.65728,0.83285,0.53169,0.86861,0.000125297,0.000125297,0.000125297
46,524.18,0.84874,0.5914,0.87106,0.85416,0.76113,0.83841,0.66103,0.81488,0.53117,0.86568,0.000123099,0.000123099,0.000123099
47,535.337,0.84553,0.59576,0.86769,0.85196,0.76264,0.84263,0.66088,0.82719,0.52811,0.86717,0.000120901,0.000120901,0.000120901
48,546.516,0.84936,0.58977,0.87044,0.78549,0.81034,0.84085,0.66356,0.8186,0.52447,0.86483,0.000118703,0.000118703,0.000118703
49,557.5,0.8437,0.58282,0.86906,0.89154,0.77506,0.83911,0.66538,0.80161,0.52032,0.86166,0.000116506,0.000116506,0.000116506
50,568.773,0.84531,0.58582,0.86788,0.84991,0.8053,0.84653,0.67155,0.81467,0.52013,0.86379,0.000114308,0.000114308,0.000114308
51,580.316,0.83886,0.58161,0.86971,0.81457,0.83215,0.85981,0.68356,0.81299,0.51982,0.86318,0.00011211,0.00011211,0.00011211
52,591.896,0.84419,0.57625,0.86975,0.86229,0.8174,0.87326,0.70039,0.80811,0.51896,0.86295,0.000109912,0.000109912,0.000109912
53,603.23,0.83634,0.57273,0.86923,0.90133,0.76625,0.85899,0.67896,0.81035,0.51547,0.86279,0.000107714,0.000107714,0.000107714
54,614.573,0.83766,0.57157,0.86769,0.87993,0.78308,0.83919,0.66134,0.81448,0.51533,0.86346,0.000105517,0.000105517,0.000105517
55,625.913,0.84249,0.57143,0.86956,0.84909,0.77392,0.8352,0.65982,0.80746,0.50957,0.86323,0.000103319,0.000103319,0.000103319
56,637.228,0.82099,0.55743,0.86477,0.86114,0.77681,0.83689,0.66438,0.80441,0.51258,0.86161,0.000101121,0.000101121,0.000101121
57,648.583,0.83196,0.56033,0.86746,0.86023,0.76824,0.84134,0.66103,0.82507,0.5127,0.8659,9.89232e-05,9.89232e-05,9.89232e-05
58,659.654,0.82989,0.56163,0.86617,0.77732,0.8095,0.83684,0.6615,0.81562,0.51635,0.86387,9.67254e-05,9.67254e-05,9.67254e-05
59,670.995,0.82657,0.56193,0.868,0.79772,0.81552,0.83992,0.66523,0.80639,0.50878,0.86235,9.45276e-05,9.45276e-05,9.45276e-05
60,682.506,0.82681,0.55603,0.86437,0.90774,0.76103,0.84857,0.66849,0.80625,0.50835,0.86182,9.23298e-05,9.23298e-05,9.23298e-05
61,693.653,0.82789,0.55476,0.86164,0.84998,0.77456,0.83187,0.6611,0.79918,0.503,0.86053,9.0132e-05,9.0132e-05,9.0132e-05
62,705.192,0.81933,0.54936,0.86574,0.85307,0.77879,0.83268,0.66067,0.80926,0.5034,0.86328,8.79342e-05,8.79342e-05,8.79342e-05
63,716.53,0.82434,0.54714,0.86414,0.89256,0.77899,0.85256,0.67853,0.80015,0.50453,0.86157,8.57364e-05,8.57364e-05,8.57364e-05
